"Site","area_sampled","num","ave_tt","ave_hw","ave_sf","ave_rm","total_ave_sg","fSite"
1,3,0,6.6,28.5,0,0,35.1,"1"
2,3,0,0,60,0,0.2,60.2,"2"
3,3,1,18.3,23.8,0,0,42.1,"3"
4,3,0,0.6,15.5,0,0,16.1,"4"
5,3,0,0,22.5,0,0,22.5,"5"
6,3,0,0.6,30,0,0.1,30.7,"6"
7,3,0,0.2,75.5,0,3.7,79.4,"7"
8,3,0,16,2.5,0,0,18.5,"8"
39,3,0,0,10.6,0,0,10.6,"39"
40,3,0,26.5,0,0,0,26.5,"40"
41,3,0,22.5,5,0,0,27.5,"41"
42,3,0,3.1,1.5,0,0,4.6,"42"
43,3,0,12.3,10.7,0,0,23,"43"
44,3,0,1,35,0,0,36,"44"
45,3,0,21.5,0,0,0,21.5,"45"
46,3,0,29,0.5,0,0,29.5,"46"
47,3,0,64.5,0,0,0,64.5,"47"
27,3,0,33,2.5,0,0.5,36,"27"
28,3,0,0,12,0,0,12,"28"
29,3,0,0.5,14,0,0,14.5,"29"
30,3,0,24,4.6,0,0,28.6,"30"
31,3,0,0.2,3.5,0,0,3.7,"31"
32,3,0,0,0,0,0,0,"32"
33,3,0,16.6,11.1,0,0,27.7,"33"
34,3,0,14.6,7.1,0,0,21.7,"34"
35,3,0,0,10,0,0,10,"35"
36,3,0,0,9.7,0,0,9.7,"36"
37,3,0,3.6,13.5,0,0,17.1,"37"
38,3,0,0,19,0,0,19,"38"
18,3,0,0,52.5,0,0,52.5,"18"
19,3,0,0,50.5,0,0,50.5,"19"
20,3,0,0,49,0,0,49,"20"
21,3,0,0,39.5,0,0,39.5,"21"
22,3,0,0,47.5,0,0,47.5,"22"
23,3,0,0,31,0,0,31,"23"
24,3,0,0.2,58,0,0,58.2,"24"
25,3,0,0,5.8,0,0,5.8,"25"
26,3,0,0.5,45.5,0,0,46,"26"
1,3,0,9.5,24,0,3.2,36.7,"1"
2,3,0,0,19,0,0,19,"2"
3,3,0,5.5,9,0,0,14.5,"3"
4,3,0,8,21.5,0,0,29.5,"4"
5,3,0,0,4,0,0,4,"5"
6,3,0,0,14,0,0,14,"6"
10,3,0,12.5,16,0,0,28.5,"10"
11,3,0,12.5,17.5,0,0,30,"11"
12,3,0,0,0,0,0,0,"12"
13,3,0,1.1,7.1,0,0,8.2,"13"
14,3,0,0,6.5,0,0,6.5,"14"
15,3,0,4.5,0,0,0,4.5,"15"
16,3,0,14,5,0,0,19,"16"
17,3,0,19.1,16,0,0,35.1,"17"
7,3,0,21.5,18.1,0,0,39.6,"7"
8,3,0,0,1.1,0,0,1.1,"8"
9,3,0,22,16.6,0,0,38.6,"9"
42,3,0,8.1,0,0,0,8.1,"42"
43,3,0,17.2222222222222,0,0,0,17.2222222222222,"43"
44,3,0,6.5,18,0,0,24.5,"44"
45,3,0,8,0,0,0,8,"45"
46,3,0,15.5555555555556,1.22222222222222,0,0,16.7777777777778,"46"
47,3,0,60.5,0,0,0,60.5,"47"
32,3,0,3,23,0,0,26,"32"
33,3,2,21,21,0,0,42,"33"
34,3,0,12.5,4,0,0,16.5,"34"
35,3,0,0,14.5,0,0,14.5,"35"
36,3,0,0.3,22.5,0,0,22.8,"36"
37,3,0,27.1,11.5,0,0,38.6,"37"
38,3,0,0,44.5,0,0,44.5,"38"
39,3,0,0,12,0,0,12,"39"
40,3,0,17.7777777777778,0,0,0,17.7777777777778,"40"
41,3,0,33,0,0,0,33,"41"
22,3,0,0,30,0,0,30,"22"
23,3,0,0,53.5,0,0,53.5,"23"
24,3,0,1.1,26.5,0,0,27.6,"24"
25,3,0,0,20.5,0,0,20.5,"25"
26,3,0,3.5,30,0,0,33.5,"26"
27,3,0,47,14.6,0,0,61.6,"27"
28,3,0,2.5,8.5,0,0,11,"28"
29,3,0,5.1,9.5,0,0,14.6,"29"
30,3,0,34,2,0,0,36,"30"
31,3,0,4.4,14,0,0,18.4,"31"
18,3,0,0,31,0,0,31,"18"
19,3,0,0,37.2222222222222,0,0,37.2222222222222,"19"
20,3,0,0,48.6,0,0,48.6,"20"
21,3,0,0,30,0,0,30,"21"
10,3,0,24,0,0,0,24,"10"
11,3,0,29,0,0,0,29,"11"
12,3,0,0.25,17,0,0,17.25,"12"
